state_fips,state,state_abbr,zipcode,county,city,citylower
36,New york,NY,12121,Rensselaer,Melrose,melrose
36,New york,NY,12122,Schoharie,Middleburgh,middleburgh
36,New york,NY,12123,Rensselaer,Nassau,nassau
36,New york,NY,12125,Columbia,New lebanon,new lebanon
36,New york,NY,12130,Columbia,Niverville,niverville
36,New york,NY,12131,Schoharie,North blenheim,north blenheim
36,New york,NY,12134,Fulton,Edinburg,edinburg
36,New york,NY,12136,Columbia,Old chatham,old chatham
36,New york,NY,12137,Schenectady,Pattersonville,pattersonville
36,New york,NY,12138,Rensselaer,Taconic lake,taconic lake
36,New york,NY,12139,Hamilton,Piseco,piseco
36,New york,NY,12140,Rensselaer,Poestenkill,poestenkill
36,New york,NY,12143,Albany,Ravena,ravena
36,New york,NY,12144,Rensselaer,Rensselaer,rensselaer
36,New york,NY,12147,Albany,Rensselaerville,rensselaerville
36,New york,NY,12148,Saratoga,Rexford,rexford
36,New york,NY,12149,Schoharie,Richmondville,richmondville
36,New york,NY,12150,Schenectady,Rotterdam juncti,rotterdam juncti
36,New york,NY,12151,Saratoga,Round lake,round lake
36,New york,NY,12153,Rensselaer,Sand lake,sand lake
36,New york,NY,12154,Rensselaer,Schaghticoke,schaghticoke
36,New york,NY,12155,Otsego,Schenevus,schenevus
36,New york,NY,12156,Rensselaer,Schodack landing,schodack landing
36,New york,NY,12157,Schoharie,Schoharie,schoharie
36,New york,NY,12158,Albany,Selkirk,selkirk
36,New york,NY,12159,Albany,Slingerlands,slingerlands
36,New york,NY,12160,Schoharie,Sloansville,sloansville
36,New york,NY,12164,Hamilton,Speculator,speculator
36,New york,NY,12165,Columbia,Spencertown,spencertown
36,New york,NY,12166,Montgomery,Sprakers,sprakers
36,New york,NY,12167,Delaware,Stamford,stamford
36,New york,NY,12168,Rensselaer,Stephentown,stephentown
36,New york,NY,12169,Rensselaer,Stephentown,stephentown
36,New york,NY,12170,Saratoga,Stillwater,stillwater
36,New york,NY,12173,Columbia,Stuyvesant,stuyvesant
36,New york,NY,12175,Schoharie,Summit,summit
36,New york,NY,12176,Greene,Surprise,surprise
36,New york,NY,12180,Rensselaer,Troy,troy
36,New york,NY,12182,Rensselaer,Troy,troy
36,New york,NY,12183,Albany,Green island,green island
36,New york,NY,12184,Columbia,Valatie,valatie
36,New york,NY,12185,Rensselaer,Valley falls,valley falls
36,New york,NY,12186,Albany,Voorheesville,voorheesville
36,New york,NY,12187,Schoharie,Warnerville,warnerville
36,New york,NY,12188,Saratoga,Waterford,waterford
36,New york,NY,12189,Albany,Watervliet,watervliet
36,New york,NY,12190,Hamilton,Wells,wells
36,New york,NY,12192,Greene,West coxsackie,west coxsackie
36,New york,NY,12193,Albany,Westerlo,westerlo
36,New york,NY,12194,Schoharie,West fulton,west fulton
36,New york,NY,12196,Rensselaer,West sand lake,west sand lake
36,New york,NY,12197,Otsego,Worcester,worcester
36,New york,NY,12198,Rensselaer,Wynantskill,wynantskill
36,New york,NY,121HH,Albany,Zcta 121hh,zcta 121hh
36,New york,NY,121XX,Hamilton,Zcta 121xx,zcta 121xx
36,New york,NY,12202,Albany,Albany,albany
36,New york,NY,12203,Albany,Mc kownville,mc kownville
36,New york,NY,12204,Albany,Albany,albany
36,New york,NY,12205,Albany,Roessleville,roessleville
36,New york,NY,12206,Albany,Albany,albany
36,New york,NY,12207,Albany,Albany,albany
